설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자
보령시 보건소	보건소 로비	충청남도	보령시	관공서	KT		Jan-15	충청남도 보령시 남포면 보령남로 234	충청남도 보령시 남포면 봉덕리 39-1	충청남도 보령시	041-930-4000	36.3245106	126.60237	2016-08-08
남포면사무소	면사무소 로비	충청남도	보령시	관공서	KT		Jan-15	충청남도 보령시 남포면 충서로 1839-20	충청남도 보령시 남포면 옥서리 326-1	충청남도 보령시	041-930-4000	36.3046178	126.605036	2016-08-08
보령시 중앙시장	대광상회	충청남도	보령시	기타	KT		Jan-15	충청남도 보령시 중앙시장2길 18	충청남도 보령시 대천동 331-7	충청남도 보령시	041-930-4000	36.3507129	126.590526	2016-08-08
보령시 중앙시장	중앙커텐	충청남도	보령시	기타	KT		Jan-15	충청남도 보령시 중앙시장1길 24	충청남도 보령시 대천동 331-7	충청남도 보령시	041-930-4000	36.3509053	126.593042	2016-08-08
보령시 동부시장	동부시장 중앙	충청남도	보령시	기타	KT		Jan-15	충청남도 보령시 한내시장길 16	충청남도 보령시 대천동 196-15	충청남도 보령시	041-930-4000	36.3500723	126.595074	2016-08-08
보령시 한내시장	한내시장 중앙	충청남도	보령시	기타	KT		Jan-15	충청남도 보령시 한내시장길 12	충청남도 보령시 대천동 195-2	충청남도 보령시	041-930-4000	36.3498344	126.595053	2016-08-08
대천3동 주민센터	동사무소 주민센터	충청남도	보령시	관공서	KT		Jan-15	충청남도 보령시 대청로 167	충청남도 보령시 동대동 290-5	충청남도 보령시	041-930-4000	36.3561064	126.611305	2016-08-08
보령시 정보화교육장	정보화교육장 내	충청남도	보령시	관공서	KT		Jan-15	충청남도 보령시 성주산로 77	충청남도 보령시 명천동 269-4	충청남도 보령시	041-930-4000	36.3328115	126.611305	2016-08-08
대천4동 주민센터	동사무소 주민센터	충청남도	보령시	관공서	KT		Jan-15	충청남도 보령시 보령남로 49	충청남도 보령시 명천동 442-16	충청남도 보령시	041-930-4000	36.3404961	126.600867	2016-08-08
미산면사무소	면사무소 로비	충청남도	보령시	관공서	KT		Jan-15	충청남도 보령시 미산면 내평봉성길 5	충청남도 보령시 미산면 내평리 350-1	충청남도 보령시	041-930-4000	36.2106148	126.676453	2016-08-08
