설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자
보령시 현대시장	시장상가 내	충청남도	보령시	기타	LGU		Dec-14	충청남도 보령시 대흥로 16	충청남도 보령시 동대동 618-69	충청남도 보령시	041-930-4000	36.3492674	126.596682	2016-08-08
미산 보건지소	보건지소 내	충청남도	보령시	관공서	LGU		Dec-14	충청남도 보령시 내평봉성길 5	충청남도 보령시 미산면 내평리 350-1	충청남도 보령시	041-930-4000	36.240691	126.681069	2016-08-08
대천2동 민원실	동사무소 로비	충청남도	보령시	관공서	LGU		Nov-15	충청남도 보령시 중앙로 142-16	충청남도 보령시 대천동 408-7	충청남도 보령시	041-930-4000	36.3534103	126.589781	2016-08-08
대천애육원	애육원 내	충청남도	보령시	서민·복지시설	LGU		Nov-15	충청남도 보령시 마루뜰길 36	충청남도 보령시 신흑동 647-2	충청남도 보령시	041-930-4000	36.3192306	126.523719	2016-08-08
농업기술센터 교육관	교육관 내	충청남도	보령시	관공서	LGU		Nov-15	충청남도 보령시 주포면 충서로 3220	충청남도 보령시 주포면 관산리 432	충청남도 보령시	041-930-4000	36.397027	126.571342	2016-08-08
명천종합사회복지관	복지관 내	충청남도	보령시	서민·복지시설	LGU		Nov-15	충청남도 보령시 주공로 50	충청남도 보령시 명천동 413	충청남도 보령시	041-930-4000	36.3425521	126.603428	2016-08-08
청소년문화의집	문화의집 로비	충청남도	보령시	서민·복지시설	LGU		Nov-15	충청남도 보령시 문화원길 9	충청남도 보령시 동대동 983-9	충청남도 보령시	041-930-4000	36.3505615	126.600098	2016-08-08
청소년수련관	수련관 로비	충청남도	보령시	서민·복지시설	LGU		Nov-15	충청남도 보령시 성주면 성주산로 500	충청남도 보령시 주면 성주리 229-7	충청남도 보령시	041-930-4000	36.3266555	126.650867	2016-08-08
수도사업소	수도사업소 내	충청남도	보령시	관공서	LGU		Nov-15	충청남도 보령시 대천로 35	충청남도 보령시 대천동 170-1	충청남도 보령시	041-930-4000	36.3519472	126.597337	2016-08-08
오천면어항출장소	어항출장소 내	충청남도	보령시	관공서	LGU		Nov-15	충청남도 보령시 대천항중앙길 42	충청남도 보령시 신흑동 2240-3	충청남도 보령시	041-930-4000	36.3273042	126.509232	2016-08-08
한내시장2	한내시장 입구	충청남도	보령시	기타	LGU		Nov-15	충청남도 보령시 대천로 5-1	충청남도 보령시 대천동 201-7	충청남도 보령시	041-930-4000	36.3494094	126.59625	2016-08-08
공성면 보건지소	대기실	경상북도	상주시	관공서	LGU		Dec-13	경상북도 상주시 공성면 공성중앙로 61	경상북도 상주시 공성면 옥산리 307-2	경상북도 상주시청	054-537-7082	36.2830974	128.0925686	2015-09-30
상주지역자활센터	대기실	경상북도	상주시	서민·복지시설	LGU		Dec-13	경상북도 상주시 중앙로 146	경상북도 상주시 남성동 50	경상북도 상주시청	054-537-7082	36.4155311	128.1540955	2015-09-30
상주 중앙시장	대기실	경상북도	상주시	편의시설	LGU		Dec-13	경상북도 상주시 풍물시장길 15	경상북도 상주시 남성동 85-10	경상북도 상주시청	054-537-7082	36.413401	128.1606886	2015-09-30
상주시 보건소	대기실	경상북도	상주시	관공서	LGU		Dec-13	경상북도 상주시 중앙로 111	경상북도 상주시 무양동 33-4	경상북도 상주시청	054-537-7082	36.4164612	128.1501593	2015-09-30
상주시 보건소	2층복도	경상북도	상주시	관공서	LGU		Dec-13	경상북도 상주시 중앙로 111	경상북도 상주시 무양동 33-4	경상북도 상주시청	054-537-7082	36.4164612	128.1501593	2015-09-30
