설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자
대천5동 주민센터	동사무소 주민센터	충청남도	보령시	관공서	SKT		Dec-14	충청남도 보령시 대천항로 204	충청남도 보령시 신흑동 산221-19	충청남도 보령시	041-930-4000	36.3172002	126.514525	2016-08-08
충남정심원	정심원 내부	충청남도	보령시	서민·복지시설	SKT		Nov-15	충청남도 보령시 주교면 보령북로 404	충청남도 보령시 주교면 관창리 402-7	충청남도 보령시	041-930-4000	36.3764278	126.585028	2016-08-08
청소면사무소	면사무소 내	충청남도	보령시	관공서	SKT		Nov-15	충청남도 보령시 청소면 청소큰길 167	충청남도 보령시 청소면 진죽리 372-6	충청남도 보령시	041-930-4000	36.445451	126.589538	2016-08-08
대천1동 민원실	동사무소 내	충청남도	보령시	관공서	SKT		Nov-15	충청남도 보령시 대천로 35	충청남도 보령시 대천동 170-1	충청남도 보령시	041-930-4000	36.3518851	126.597084	2016-08-08
노인종합복지관	종합복지관 내	충청남도	보령시	서민·복지시설	SKT		Nov-15	충청남도 보령시 대천로 113	충청남도 보령시 죽정동 703-1	충청남도 보령시	041-930-4000	36.3562381	126.604187	2016-08-08
지역자활센터	자활센터 내	충청남도	보령시	서민·복지시설	SKT		Nov-15	충청남도 보령시 원동1길 95	충청남도 보령시 동대동 771-3	충청남도 보령시	041-930-4000	36.3503386	126.600287	2016-08-08
지역아동센터	아동센터 내	충청남도	보령시	서민·복지시설	SKT		Nov-15	충청남도 보령시 천변남길 316	충청남도 보령시 동대동 739-35	충청남도 보령시	041-930-4000	36.3522671	126.603516	2016-08-08
성주지역아동센터	아동센터 내	충청남도	보령시	서민·복지시설	SKT		Nov-15	충청남도 보령시 성주면 청성로 431	충청남도 보령시 성주면 성주리 265-217	충청남도 보령시	041-930-4000	36.3467402	126.659328	2016-08-08
성주면 주민자치센터	자치센터 내	충청남도	보령시	관공서	SKT		Nov-15	충청남도 보령시 성주면 화장골길 110-15	충청남도 보령시 성주면 성주리 219	충청남도 보령시	041-930-4000	36.3305279	126.651184	2016-08-08
이야기마을	이야기마을 내	충청남도	보령시	서민·복지시설	SKT		Nov-15	충청남도 보령시 웅천읍 부당길 63-43	충청남도 보령시 웅천읍 수부리 697-1	충청남도 보령시	041-930-4000	36.2695398	126.616008	2016-08-08
청라면 주민자치센터	주민자치센터 중앙	충청남도	보령시	관공서	SKT		Nov-15	충청남도 보령시 청라면 원모루길 225	충청남도 보령시 청라면 나원리 927-3	충청남도 보령시	041-930-4000	36.3904982	126.673757	2016-08-08
교성보건진료소	진료소 내	충청남도	보령시	관공서	SKT		Nov-15	충청남도 보령시 오천면 오천중앙로 276	충청남도 보령시 오천면 교성리 847-4	충청남도 보령시	041-930-4000	36.4211942	126.539801	2016-08-08
학성보건진료소	진료소 내	충청남도	보령시	관공서	SKT		Nov-15	충청남도 보령시 천북면 학성염전길 13	충청남도 보령시 천북면 학성리 520-51	충청남도 보령시	041-930-4000	36.4562943	126.498202	2016-08-08
소화데레사의집	시설 내	충청남도	보령시	서민·복지시설	SKT		Nov-15	충청남도 보령시 대량비선재길 65-69	충청남도 보령시 신흑동 705-1	충청남도 보령시	041-930-4000	36.3168141	126.528838	2016-08-08
오천여객선터미널	여객선터미널 내	충청남도	보령시	교통시설	SKT		Nov-15		충청남도 보령시 오천면 소성리 700-86	충청남도 보령시	041-930-4000	36.4390774	126.519807	2016-08-08
대천항 활어판매장	판매장 입구 야외	충청남도	보령시	기타	SKT		Nov-15	충청남도 보령시 대천항로 396	충청남도 보령시 신흑동 950-86	충청남도 보령시	041-930-4000	36.3284947	126.505086	2016-08-08
동탄3동 주민센터	민원실	경기도	화성시	관공서	SKT			경기도 화성시 동탄지성로 151	경기도 화성시 능동 1119	동탄3동 주민센터	031-369-4070	37.20988853	127.0586455	2016-09-20
